NIDID,Dam_Name,Insp_Date,Submit_Date,River,City_02,County,State,Cong_Dist,Cong_Rep,Party,Owner_Type,Owner_Name,Year_Comp,Year_Mod,Private_Dam,NPDP_Hazard,Permit_Auth,Insp_Auth,Enfrc_Auth,Juris_Dam,NID_Height,NID_Storage,Dam_Length,Max_Discharge,Drain_Area,Dam_Designer,EAP,Insp_Freq,St_Reg_Dam,St_Reg_Agncy,Volume,Fed_Fund,Fed_Design,Fed_Con,Fed_Reg,Fed_Insp,Srce_Agncy,Oth_StrucID,Num_Struc,Longitude,Latitude
MD00061,BLAIRS VALLEY DAM,2012-05-29,2013-02-04,LITTLE CONOCOCHEAGUE CREEK,SHADY BOWER,WASHINGTON,MD,MD06,JOHN K. DELANEY (D),D,STATE,MD DNR INDIAN SPRINGS WMA,1968,"1983,H GABION SPILLWAY LINING",N,HIGH,Y,Y,Y,Y,34,679,670,4150,3.4,MD DEPT.OF GENL SERVICES,Y,1,Y,MD DAM SAFETY,,,,,,,MD,,0,-77.9415,39.6961
MD00165,BOND FARM POND,2003-10-01,2013-02-04,TR-SPRUCE RUN,ELLERTON,FREDERICK,MD,MD08,CHRIS VAN HOLLEN (D),D,PRIVATE,WILLIAM M BOND,1973,1973,N,LOW,Y,Y,Y,Y,27,122,625,77,0.3,USDA NRCS,NR,5,Y,MD DAM SAFETY,15200,,USDA NRCS,,,,MD,,0,-77.5436,39.5642
VA00912,BUFFALO RIVER DAM #2,2012-03-31,2013-03-12,THRASHERS CREEK,HENLEYS STORE,AMHERST,VA,VA06,BOB GOODLATTE (R),R,LOCAL GOVERNMENT,COUNTY OF AMHERST,1978,,N,HIGH,Y,Y,Y,Y,74,2562,830,24524,6.8,USDA NRCS,Y,0,Y,DCR,314070,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-79.1383,37.67
VA00107,BUNDICK CREEK DAM,,2013-03-12,BUNDICK CREEK,ATLANTIC OCEAN,ACCOMACK,VA,VA02,E. SCOTT RIGELL (R),R,PRIVATE,RANDOLF STERLING,1965,,N,,Y,Y,Y,Y,8,50,578,154,,,NR,0,Y,DCR,3836,,USDA NRCS,,,,VA,,0,-75.5966,37.7616
VA05307,BURNT QUARTER DAM,2012-03-25,2013-03-12,CHAMBERLAIN BED CREEK,DINWIDDIE,DINWIDDIE,VA,VA04,J. RANDY FORBES (R),R,PRIVATE,STEPHEN F & CAROLYN M. PERRY,1951,,N,LOW,Y,Y,Y,Y,31,1135,200,,3.72,UNKNOWN,Y,0,Y,DCR,,,,,,,VA,,0,-77.6166,37.1166
VA00917,BURRUSS DAM,,2013-03-12,CEDAR CREEK,PEDLAR MILLS,AMHERST,VA,VA06,BOB GOODLATTE (R),R,PRIVATE,JAMES R. BURRUSS; RSB PROPERTIES,1958,,N,LOW,Y,Y,Y,Y,20,95,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-79.29,37.5766
VA14739,BUSH RIVER DAM #5,2011-03-08,2013-03-12,CAMP CREEK,ST RT 647,PRINCE EDWARD,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,PIEDMONT SWCD,1994,,N,LOW,Y,Y,Y,Y,41,1008,580,9474,2.03,USDA NRCS,Y,0,Y,DCR,64800,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.3833,37.15
VA14302,CHERRYSTONE CREEK DAM #1,2011-09-14,2013-03-12,CHERRYSTONE CREEK,CHATHAM,PITTSYLVANIA,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,TOWN OF CHATHAM,1967,0,N,SIGNIFICANT,Y,Y,Y,Y,57,7152,790,16470,14.7,USDA NRCS,Y,0,Y,DCR,183730,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-79.4333,36.85
VA14303,CHERRYSTONE CREEK DAM #2A,2011-09-14,2013-03-12,ROARING FORK,CHATHAM,PITTSYLVANIA,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,TOWN OF CHATHAM,1968,0,N,SIGNIFICANT,Y,Y,Y,Y,68,1636,400,9950,5.7,USDA NRCS,Y,0,Y,DCR,83740,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-79.4316,36.845
VA13302,CLARKS MILL DAM,,2013-03-12,TR-COAN RIVER,BUNDICK,NORTHUMBERLAND,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,C. H. CLARK JR.,1935,,N,LOW,Y,Y,Y,Y,20,138,450,,,,N,0,Y,DCR,,,,,,,VA,,0,-76.4678,37.9321
VA15502,CLAYTOR,2012-05-15,2013-02-28,NEW RIVER,RADFORD,PULASKI,VA,VA09,H. MORGAN GRIFFITH (R),R,PUBLIC UTILITY,APPALACHIAN POWER COMPANY,1939,1984S,N,HIGH,N,N,N,N,139,232000,1150,1043800,2382,,Y,1,N,DCR,,,,,FERC,FERC,FERC,,1,-80.5853,37.0753
DE00085,CLENDANIEL POND DAM,,2013-02-04,HUDSON MILL,ELLENDALE    SOUTH,SUSSEX,DE,DE00,JOHN C. CARNEY JR. (D),D,PRIVATE,JOSEPH WARNELL,1810,,N,SIGNIFICANT,N,N,N,N,10.21,330,445,279,8.93,,NR,0,N,,,,,,,,DE,,0,-75.4043,38.8577
VA03315,COLLINS DAM,,2013-03-12,DOCTORS CREEK,BUTLERS FORK,CAROLINE,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,"COLLINS, JAMES B. , ET AL",1800,,N,LOW,Y,Y,Y,Y,15,316,,,,,N,0,Y,DCR,,,,,,,VA,,0,-77.2745,37.964
DE00044,CONCORD POND DAM,2012-04-16,2013-02-04,DEEP CREEK,SEAFORD    W,SUSSEX,DE,DE00,JOHN C. CARNEY JR. (D),D,STATE,DELDOT; DNREC DFW,1978,1978,N,SIGNIFICANT,Y,Y,Y,Y,14.31,1481,565,7700,63.49,,N,1,Y,DNREC,,,,,,,DE,,0,-75.554,38.6431
VA09705,CORBIN MILL DAM,,2013-03-12,TASTINE SWAMP/CORBIN MILL CREEK,WEST POINT,KING AND QUEEN,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,CORBIN CLUB,1900,,N,LOW,Y,Y,Y,Y,13,327,600,,,,N,0,Y,DCR,,,,,,,VA,,0,-76.7616,37.5765
DE00038,COURSEY POND DAM,2012-06-19,2013-02-04,MURDERKILL RIVER,FREDERICA,KENT,DE,DE00,JOHN C. CARNEY JR. (D),D,STATE,DELDOT; DNREC DFW,1967,,N,LOW,Y,Y,Y,Y,19.69,1150,350,6530,21.85,,N,1,Y,DNREC,,,,,,,DE,,0,-75.5105,38.9888
MD00208,CRABBS BRANCH SWM FACILITY,2012-06-04,2013-02-04,CRABBS BRANCH,TWIN BROOK FOREST,MONTGOMERY,MD,MD06,JOHN K. DELANEY (D),D,LOCAL GOVERNMENT,MONTGOMERY COUNTY DEP,1983,"2007,S",N,HIGH,Y,Y,Y,Y,27,311,950,4200,0.9,URS ENGINEERS (2007); :RK&K (1983 ORIG.),Y,1,Y,MD DAM SAFETY,,,,,,,MD,,0,-77.1583,39.1216
VA00331,CROWN ORCHARD SOUTH DAM,,2013-03-12,TR-STILLHOUSE CREEK,BATESVILLE,ALBEMARLE,VA,VA05,ROBERT HURT (R),R,PRIVATE,"CHILES, HENRY",1960,,N,LOW,Y,Y,Y,Y,38,54,250,,,,NR,0,Y,DCR,,,,,,,VA,,0,-78.7416,37.9541
DE00086,CUBBAGE POND DAM,2012-05-10,2013-02-04,CEDAR CREEK,MILFORD   NW,SUSSEX,DE,DE00,JOHN C. CARNEY JR. (D),D,STATE,DELDOT,1880,,N,SIGNIFICANT,Y,Y,Y,Y,11.11,480,575,1362,10.49,,N,1,Y,DNREC,,,,,,,DE,,0,-75.3903,38.8656
VA00906,EARLEY DAM,2008-02-20,2013-03-12,ROCKY CREEK,ST RT 60,AMHERST,VA,VA06,BOB GOODLATTE (R),R,PRIVATE,VIRGINIA E. HOLT,1952,,N,LOW,Y,Y,Y,Y,36.79,689,550,2700,1.9,,Y,0,Y,DCR,42200,,USDA NRCS,,,,VA,,0,-79.0216,37.5283
VA18105,EASTOVER DAM,,2013-03-12,SPRING RUN CREEK,ST RT 618,SURRY,VA,VA03,ROBERT C. ???BOBBY??? SCOTT (D),D,PRIVATE,RICHARD SPAIN,1954,,N,LOW,Y,Y,Y,Y,19,66,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-76.9033,37.185
VA09307,ECHO DAM,,2013-03-12,TR-CHAMPION SWAMP,SMITHFIELD,ISLE OF WIGHT,VA,VA04,J. RANDY FORBES (R),R,PRIVATE,J. E. PIERCE,1903,,N,LOW,Y,Y,Y,Y,20,164,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-76.6333,36.9466
MD00083,EDGEWATER VILLAGE DAM,2011-06-10,2013-02-04,TR-OTTER POINT CREEK,OTTER POINT,HARFORD,MD,MD02,C. A. DUTCH RUPPERSBERGER (D),D,LOCAL GOVERNMENT,HARFORD COUNTY DPW,1971,"1991,H",N,HIGH,Y,Y,Y,Y,29,171,800,1110,0.3,,Y,1,Y,MD DAM SAFETY,,,,,,,MD,,0,-76.3099,39.432
VA13502,EPES DAM,2010-11-12,2013-03-12,HORSEPEN CREEK,ST RT 40,NOTTOWAY,VA,VA04,J. RANDY FORBES (R),R,PRIVATE,LEWIS AND KAREN IRBY,1931,,N,LOW,Y,Y,Y,Y,28.8,150,305,,3.1,UNKNOWN,Y,0,Y,DCR,,,,,,,VA,,0,-78.095,37.0433
VA07509,FAIRFIELD DAM,,2013-03-12,TR-BIG LICKING HOLE CREEK,IRWIN,GOOCHLAND,VA,VA07,ERIC CANTOR (R),R,PRIVATE,MARTHA HUME,1967,,N,,Y,Y,Y,Y,19,78,357,3492,,,NR,0,Y,DCR,4050,,USDA NRCS,,,,VA,,0,-77.958,37.6998
MD00206,FRESH WATER POND,2011-06-29,2013-03-05,TR,PRINCIPIO FURNACE,CECIL,MD,,,,PRIVATE,YORK BUILDING PRODUCTS COMPANY INC,,,N,LOW,N,N,N,N,25,117,582,,,AKENS ENGINEERING ASSOCIATES INC.,N,0,N,,,,,,DOL MSHA,DOL MSHA,DOL MSHA,,0,0,0
VA18313,GAME RESERVE DAM,,2013-03-12,DOBIE SWAMP,ST RT 626,SUSSEX,VA,VA04,J. RANDY FORBES (R),R,STATE,VA DEPARTMENT OF GAME & INLAND FISHERIES,1935,,N,LOW,Y,Y,Y,Y,16,106,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.2366,37.0383
VA08703,GILLIE CREEK DAM,1999-03-03,2013-03-12,STONY RUN,RICHMOND,HENRICO,VA,VA03,ROBERT C. ???BOBBY??? SCOTT (D),D,PRIVATE,"NSG, LLC",1956,,N,SIGNIFICANT,Y,Y,Y,Y,30,247,350,2484,1.25,,Y,0,Y,DCR,41405,,USDA NRCS,,,,VA,,0,-77.36,37.5366
VA06124,GLASCOCK RUN DAM,,2013-03-12,GLASCOCK RUN,WATERLOO,FAUQUIER,VA,VA05,ROBERT HURT (R),R,PRIVATE,RIVERSIDE FARM PARTNERSHIP,1960,,N,LOW,Y,Y,Y,Y,20,260,500,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.9466,38.6966
MD00166,GOLDBERG POND,2001-08-03,2013-02-04,HAWLINGS RIVER,CAMP BENNETT,MONTGOMERY,MD,MD08,CHRIS VAN HOLLEN (D),D,PRIVATE,DAVID GOLDBERG,1965,"2000,S",N,LOW,Y,Y,Y,Y,20,106,250,428,0.8,USDA NRCS,NR,5,Y,MD DAM SAFETY,10700,,USDA NRCS,,,,MD,,0,-77.0905,39.2183
VA04111,GORDON DAM,,2013-03-12,TR-TURKEY CREEK,SWIFT CREEK RESERVOIR,CHESTERFIELD,VA,VA07,ERIC CANTOR (R),R,PRIVATE,JAMES W. GORDON JR.,1970,,N,LOW,Y,Y,Y,Y,20,92,436,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.7383,37.46
VA02507,GREAT CREEK DAM #6A,2011-11-03,2013-03-12,GREAT CREEK,ST RT 58,BRUNSWICK,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,BRUNSWICK COUNTY,1987,,N,HIGH,Y,Y,Y,Y,83,27854,1370,33900,41.1,USDA NRCS,Y,0,Y,DCR,256970,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-77.8916,36.7683
MD00042,GREENBRIER STATE PARK DAM & DIKE,2012-11-08,2013-02-04,TR-LITTLE BEAVER CREEK,MOUNT LENA/GREENBRIAR,WASHINGTON,MD,MD06,JOHN K. DELANEY (D),D,STATE,"MD DNR-PUBLIC LANDS, ENGINEERING & CONSTR-WESTERN",1965,"1996,S",N,HIGH,Y,Y,Y,Y,64,734,445,14168,0.8,SCHNABLE ENGR (REPAIRS); JAMES H. LUDLOW ASSOC.(ORIG. DESIGN),Y,1,Y,MD DAM SAFETY,,,,,,,MD,,2,-77.6213,39.5389
VA10109,GUTHERIE DAM,,2013-03-12,TR-FORKBRIDGE CREEK,MITCHELL MILLPOND,KING WILLIAM,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,R. L. GUTHERIE,1920,,N,LOW,Y,Y,Y,Y,18,165,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.21,37.8183
VA01917,HARRINGTON DAM,,2013-03-12,WIDE MOUTH CREEK,LYNCHBURG,BEDFORD,VA,VA06,BOB GOODLATTE (R),R,NOT LISTED,DONALD W. HARRINGTON,1931,,N,LOW,Y,Y,Y,Y,20,54,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-79.2283,37.48
VA06108,HERBERT DAM,,2013-03-12,TR-GOOSE CREEK,RECTORTOWN,FAUQUIER,VA,VA05,ROBERT HURT (R),R,PRIVATE,FLINT HILL LIMITED PARTNERSHIP,1960,,N,LOW,Y,Y,Y,Y,22,110,100,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.8883,38.9066
VA06910,HIGH VIEW MANOR DAM,,2013-03-12,GOUGH RUN,FAWCETT GAP,FREDERICK,VA,VA10,FRANK R. WOLF (R),R,PRIVATE,"HIGH VIEW MANOR, INC.",1960,,N,LOW,Y,Y,Y,Y,24,97,450,,,USDA(NRCS),NR,0,Y,DCR,,,,,,,VA,,0,-78.3166,39.1633
VA08912,HORSE PASTURE CREEK DAM #1C,1997-07-08,2013-03-12,HORSE PASTURE CREEK,SPENCER,HENRY,VA,VA09,H. MORGAN GRIFFITH (R),R,LOCAL GOVERNMENT,BLUE RIDGE SWCD,1973,,N,LOW,Y,Y,Y,Y,53,985,615,7097,5.14,USDA NRCS,Y,0,Y,DCR,113880,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-80.0133,36.6633
VA18328,MORGANS DAM,,2013-03-12,TR-SNAKE BRANCH,STONY CREEK,SUSSEX,VA,VA04,J. RANDY FORBES (R),R,PRIVATE,GENE MORGAN,1974,,N,,Y,Y,Y,Y,23,110,536,1625,,,NR,0,Y,DCR,7781,,USDA NRCS,,,,VA,,0,-77.43,36.9733
DE00067,MORRIS MILLPOND DAM,,2013-02-04,DEEP BRANCH,MILLSBORO   SE,SUSSEX,DE,DE00,JOHN C. CARNEY JR. (D),D,PRIVATE,VINCENT STREET,1929,,N,SIGNIFICANT,N,N,N,N,10,440,400,,,,NR,0,N,,,,,,,,DE,,0,-75.3166,38.64
VA17704,MOTTS RUN RESERVOIR DAM,2002-12-04,2013-03-12,MOTTS RUN,FREDERICKSBURG,SPOTSYLVANIA,VA,VA01,ROBERT J. WITTMAN (R),R,LOCAL GOVERNMENT,CITY OF FREDERICKSBURG/SPOTSYLVANIA COUNTY,1971,,N,HIGH,Y,Y,Y,Y,96.5,7700,715,,10.3,"MARTIN, CLIFFORD & ASSOC.70/GANNETT-FLEMING, INC00",Y,0,Y,DCR,,,,,,,VA,,0,-77.5433,38.3133
VA04702,MOUNTAIN RUN DAM #11,2011-09-20,2013-03-12,MOUNTAIN RUN,CULPEPER,CULPEPER,VA,VA07,ERIC CANTOR (R),R,LOCAL GOVERNMENT,TOWN OF CULPEPER,1959,,N,SIGNIFICANT,Y,Y,Y,Y,44,2880,722,2250,5.9,USDA NRCS,Y,0,Y,DCR,53600,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.0683,38.4783
VA13705,NEALS DAM,,2013-03-12,BARBOUR RUN,OLD SOMERSET,ORANGE,VA,VA07,ERIC CANTOR (R),R,NOT LISTED,"O. BRUCE GUPTON, JR.",1946,,N,,Y,Y,Y,Y,20,80,325,,,,NR,0,Y,DCR,,,USDA NRCS,,,,VA,,0,-78.1933,38.1733
VA17701,NI RIVER DAM #1,2008-05-29,2013-03-12,NI RIVER,SPOTSYLVANIA,SPOTSYLVANIA,VA,VA07,ERIC CANTOR (R),R,LOCAL GOVERNMENT,SPOTSYLVANIA COUNTY,1972,,N,SIGNIFICANT,Y,Y,Y,Y,50.89,24873,1750,28748,24.4,HARZA ENGINEERING COMPANY,Y,0,Y,DCR,217820,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-77.5966,38.2466
VA05105,NICEWONDER DAM,2006-09-11,2013-03-12,TRIB-POUND RIVER,ISOM,DICKENSON,VA,VA09,H. MORGAN GRIFFITH (R),R,PRIVATE,MIKE AND GWEN YATES,1960,,N,LOW,Y,Y,Y,Y,40,133,350,,0.1,,NR,0,Y,DCR,,,,,,,VA,,0,-82.4966,37.18
VA01920,OLD BEDFORD CITY DAM,,2013-03-12,STONY CREEK,KELSO MILL,BEDFORD,VA,VA06,BOB GOODLATTE (R),R,NOT LISTED,CITY OF BEDFORD,1900,,N,SIGNIFICANT,N,N,N,N,30,50,,,,,N,0,N,DCR,,,,,,,VA,,0,-79.5516,37.4416
VA03323,OLD GRAYS DAM,,2013-03-12,MAYS RUN,MILFORD,CAROLINE,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,GEORGE E. NEWSOME,1850,,N,LOW,Y,Y,Y,Y,14,179,800,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.421,38.0315
VA15307,OMISOL DAM,2008-07-15,2013-03-12,HOOES RUN,OCCOQUAN,PRINCE WILLIAM,VA,VA11,GERALD E. CONNOLLY (D),D,PRIVATE,OMISOL HOME OWNERS ASSOCIATION,1940,,N,LOW,Y,Y,Y,Y,21.1,156.4,250,,5.21,,Y,0,Y,DCR,,,,,,,VA,,0,-77.3,38.6733
VA01901,PEAKS OF OTTER DAM 1-K MI.85.5,2003-09-23,2013-02-27,LITTLE STONEY CREEK,KELSO MILL,BEDFORD,VA,VA06,BOB GOODLATTE (R),R,FEDERAL,DOI NPS,1964,2007,N,,N,N,N,N,34,240,350,1300,0,,Y,0,N,,6400,DOI NPS,USDA NRCS,,DOI NPS,DOI BR,DOI NPS,,0,-79.6,37.45
VA05907,POHICK CREEK DAM #8,2011-04-22,2013-03-12,MIDDLE RUN,FORT BELVOIR,FAIRFAX,VA,VA10,FRANK R. WOLF (R),R,LOCAL GOVERNMENT,FAIRFAX COUNTY BOARD OF SUPERVISORS,1973,,N,HIGH,Y,Y,Y,Y,45.39,1740,700,7878,2.33,USDA NRCS,Y,0,Y,DCR,76060,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-77.2566,38.7533
VA08503,POLLARDS DAM,,2013-03-12,TR-SOUTH ANNA RIVER,HANOVER COUNTRY CLUB,HANOVER,VA,VA07,ERIC CANTOR (R),R,PRIVATE,THE HOLLOWS CORP.,1960,,N,LOW,Y,Y,Y,Y,19,62,300,,,,N,0,Y,DCR,,,,,,,VA,,0,-77.595,37.7866
DE00016,RED MILL POND DAM,2012-04-13,2013-02-04,MARTIN BRANCH,LEWES   E,SUSSEX,DE,DE00,JOHN C. CARNEY JR. (D),D,STATE,DELDOT,1925,,N,SIGNIFICANT,Y,Y,Y,Y,11.77,636,630,636,6.54,,N,1,Y,DNREC,,,,,,,DE,,0,-75.2047,38.7608
VA03712,ROANOKE CREEK DAM # 31B,2010-06-28,2013-03-12,EAST BRANCH OF WARDS FORK,CHARLOTTE COURT HOUSE,CHARLOTTE,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,SOUTHSIDE SWCD,1967,,N,LOW,Y,Y,Y,Y,29.6,1718,650,2430,4.7,USDA NRCS,Y,0,Y,DCR,38630,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.6216,37.1266
VA06103,SAWYER DAM,,2013-03-12,BUCK RUN,CRESTHILL,FAUQUIER,VA,VA05,ROBERT HURT (R),R,PRIVATE,VALHALLA FARM LLC,1960,,N,SIGNIFICANT,Y,Y,Y,Y,20,258,276,,,,N,0,Y,DCR,,,,,,,VA,,0,-78.025,38.8233
VA05706,SCOTTS MILLPOND DAM,,2013-03-12,HOSKINS CREEK,TAPPAHANNOCK,ESSEX,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,LOUIS MARX JR.,1850,,N,SIGNIFICANT,N,N,N,N,17,42,300,,19.8,,N,0,N,DCR,,,,,,,VA,,0,-76.9,37.9266
MD00134,SIMKINS INDUSTRY DAM,2011-07-08,2013-02-04,PATAPSCO RIVER,ELKRIDGE,BALTIMORE,MD,MD07,ELIJAH E. CUMMINGS (D),D,PRIVATE,SIMKINS INDUSTRIES,1900,2010,N,LOW,Y,Y,Y,Y,20,3560,293,82200,300.5,,NR,5,Y,MD DAM SAFETY,,,,,,,MD,,0,-76.7689,39.2523
VA01523,SMITHLEIGH DAM,,2013-03-12,MIDDLE RIVER,WEST VIEW,AUGUSTA,VA,VA06,BOB GOODLATTE (R),R,NOT LISTED,"HENDERSON, FRANK & MARGARET",1968,,N,SIGNIFICANT,Y,Y,Y,Y,22,306,510,,25,,N,0,Y,DCR,,,,,,,VA,,0,-79.2133,38.1533
MD00111,SOIL CONSERVATION SERVICE LAKE,2009-08-11,2013-02-04,BECK BRANCH,BERWYN HEIGHTS,PRINCE GEORGES,MD,MD05,STENY H. HOYER (D),D,FEDERAL,USDA NRCS,1939,1939,N,,Y,Y,Y,Y,17,176,250,781,2.5,USDA,NR,5,Y,MD DAM SAFETY,,,,,,,MD,,0,-76.8511,39.0135
VA01504,SOUTH RIVER DAM #10A,2011-10-12,2013-03-12,MILLS CREEK,SHERANDO,AUGUSTA,VA,VA06,BOB GOODLATTE (R),R,LOCAL GOVERNMENT,AUGUSTA COUNTY,1963,,N,HIGH,Y,Y,Y,Y,97.5,1235,715,7120,3.7,USDA NRCS,Y,0,Y,DCR,249420,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-79.0016,37.9516
MD00100,ST. PAULS MILLPOND,2012-03-23,2013-02-04,"WEST FORK, LANGFORD CREEK",MCKINLEYVILLE,KENT,MD,MD01,ANDY HARRIS (R),R,PRIVATE,CHESAPEAKE FARMS COMPANY,,"1990,HS",N,SIGNIFICANT,Y,Y,Y,Y,15,166,700,300,3.2,"RICH PERIN, CONSOLIDATION COAL",Y,3,Y,MD DAM SAFETY,,,,,,,MD,,0,-76.1786,39.1855
VA01904,STONEY CREEK RESERVOIR DAM (BEDFORD),2010-01-28,2013-03-12,STONY CREEK,KELSO MILL,BEDFORD,VA,VA06,BOB GOODLATTE (R),R,LOCAL GOVERNMENT,CITY OF BEDFORD,1958,,N,SIGNIFICANT,Y,Y,Y,Y,54,760,550,,6.02,WILEY & WILSON,Y,0,Y,DCR,,,,,,,VA,,0,-79.55,37.4433
VA17102,STONY CREEK DAM #10,2010-08-25,2013-03-12,ALUM RUN,JEROME,SHENANDOAH,VA,VA06,BOB GOODLATTE (R),R,LOCAL GOVERNMENT,LORD FAIRFAX SWCD,1971,,Y,HIGH,Y,Y,Y,Y,72,1910,601,17581,4.6,USDA NRCS,Y,0,Y,DCR,219030,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.7733,38.8166
DE00046,SUNSET LAKE DAM,1978-10-26,2013-02-04,MUDDY RUN,GLASGOW,NEW CASTLE,DE,DE00,JOHN C. CARNEY JR. (D),D,PRIVATE,NEWARK ANGLERS ASSOCIATION,1900,,N,SIGNIFICANT,N,N,N,N,13.28,553,290,259.1,8.2,,NR,0,N,,,,,,,,DE,,0,-75.7246,39.6247
VA01925,SWAN LAKE DAM,2008-04-23,2013-03-12,TRIB - IVY CREEK,LYNCHBURG,BEDFORD,VA,VA06,BOB GOODLATTE (R),R,PRIVATE,FOREST LAKES POA,1989,,N,SIGNIFICANT,Y,Y,Y,Y,32,425,400,,2.1,BERKLY-HOWELL&ASSOCIATES,Y,0,Y,DCR,,,,,,,VA,,0,-79.2583,37.3833
VA15705,SWEENY DAM,,2013-03-12,TR-THORTON RIVER,VIENTOWN,RAPPAHANNOCK,VA,VA05,ROBERT HURT (R),R,PRIVATE,JEFFREY L. & EILEEN R. KELLY,1970,,N,LOW,Y,Y,Y,Y,18,58,270,,,,NR,0,Y,DCR,,,,,,,VA,,0,-78.0133,38.6683
DE00056,SWIGGETTS POND DAM,2012-05-10,2013-02-04,CEDAR CREEK,MILFORD  NW,SUSSEX,DE,DE00,JOHN C. CARNEY JR. (D),D,STATE,DELDOT,1941,,N,SIGNIFICANT,Y,Y,Y,Y,11.57,920,800,1330,11.29,,N,1,Y,DNREC,,,,,,,DE,,0,-75.3773,38.8691
DE00089,TAILINGS POND NO. 2 DAM GETTY OIL,,2013-02-04,DELAWARE RIVER-OS,DELAWARE CITY,NEW CASTLE,DE,DE00,JOHN C. CARNEY JR. (D),D,PRIVATE,VALERO ENERGY CORPORATION,1960,,N,LOW,N,N,N,N,15,300,1100,,,,NR,0,N,,,,,,,,DE,,0,-75.61,39.595
DE00090,TAILINGS POND NO. 3 DAM GETTY OIL,,2013-02-04,DELAWARE RIVER-OS,DELAWARE CITY,NEW CASTLE,DE,,,,PRIVATE,VALERO ENERGY CORPORATION,1960,,N,LOW,N,N,N,N,20,10000,16000,,,,NR,0,N,,,,,,,,DE,,0,-75.5966,39.5866
VA01505,UPPER NORTH RIVER DAM #10,2011-10-12,2013-03-12,SKIDMORE CREEK,STOKESVILLE,AUGUSTA,VA,VA06,BOB GOODLATTE (R),R,LOCAL GOVERNMENT,HEADWATERS SWCD,1963,0,Y,LOW,Y,Y,Y,Y,69,865,734,6550,4.1,USDA NRCS,Y,0,Y,DCR,301000,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-79.2083,38.3666
MD00084,URBANA,2010-03-10,2013-02-04,TR-BENNETT CREEK,PARK MILLS,FREDERICK,MD,MD06,JOHN K. DELANEY (D),D,STATE,MD DNR-FISHERIES ADMINISTRATION,1963,"2001,S",N,LOW,Y,Y,Y,Y,25,81,325,1567,0.5,USDA NRCS,NR,5,Y,MD DAM SAFETY,1,,USDA NRCS,,,,MD,,0,-77.3406,39.3005
MD00024,URIEVILLE DAM,2010-05-05,2013-02-04,TR-MORGAN CREEK,CHESTER ESTATES,KENT,MD,MD01,ANDY HARRIS (R),R,STATE,"MD DNR-PUBLIC LANDS, ENGINEERING & CONSTR-EASTERN",1955,1955,N,LOW,Y,Y,Y,Y,17,477,600,1750,8.5,MD STATE HIGHWAY ADMIN.,NR,5,Y,MD DAM SAFETY,,,,,,,MD,,0,-76.0247,39.2789
VA00102,VA TRUCK EXPERIMENTAL STATION DAM,,2013-03-12,TR-OCCOHANNOCK CREEK,DAVIS WHARF,ACCOMACK,VA,VA02,E. SCOTT RIGELL (R),R,STATE,VPI&SU EAST SHORE AGRI. STATION,1954,,N,LOW,Y,Y,Y,Y,9,195,365,,,,NR,0,Y,DCR,2598,,USDA NRCS,,,,VA,,0,-75.8216,37.5833
